"Código","Nome Município","Hepatite A 1999-2007","Hepatite A 2008","Hepatite A 2009","Hepatite A 2010","Hepatite A 2011","Hepatite A 2012","Hepatite A 2013","Hepatite A 2014","Hepatite A 2015","Hepatite A 2016","Hepatite A 2017","Hepatite A 2018","Hepatite A 2019","Hepatite A 2020","Tx Det Hep A 2008","Tx Det Hep A 2009","Tx Det Hep A 2010","Tx Det Hep A 2011","Tx Det Hep A 2012","Tx Det Hep A 2013","Tx Det Hep A 2014","Tx Det Hep A 2015","Tx Det Hep A 2016","Tx Det Hep A 2017","Tx Det Hep A 2018","Tx Det Hep A 2019","Tx Det Hep A 2020","Hep A M Total","Hep A M 1999-2007","Hep A M 2008","Hep A M 2009","Hep A M 2010","Hep A M 2011","Hep A M 2012","Hep A M 2013","Hep A M 2014","Hep A M 2015","Hep A M 2016","Hep A M 2017","Hep A M 2018","Hep A M 2019","Hep A M 2020","Tx Det M Hep A M 2008","Tx Det M Hep A M 2009","Tx Det M Hep A M 2010","Tx Det M Hep A M 2011","Tx Det M Hep A M 2012","Tx Det M Hep A M 2013","Tx Det M Hep A M 2014","Tx Det M Hep A M 2015","Tx Det M Hep A M 2016","Tx Det M Hep A M 2017","Tx Det M Hep A M 2018","Tx Det M Hep A M 2019","Tx Det M Hep A M 2020","Hep A F Total","Hep A F 1999-2007","Hep A F 2008","Hep A F 2009","Hep A F 2010","Hep A F 2011","Hep A F 2012","Hep A F 2013","Hep A F 2014","Hep A F 2015","Hep A F 2016","Hep A F 2017","Hep A F 2018","Hep A F 2019","Hep A F 2020","Tx Det F Hep A F 2008","Tx Det F Hep A F 2009","Tx Det F Hep A F 2010","Tx Det F Hep A F 2011","Tx Det F Hep A F 2012","Tx Det F Hep A F 2013","Tx Det F Hep A F 2014","Tx Det F Hep A F 2015","Tx Det F Hep A F 2016","Tx Det F Hep A F 2017","Tx Det F Hep A F 2018","Tx Det F Hep A F 2019","Tx Det F Hep A F 2020","Óbitos A Total","Óbitos A 2000-2007","Óbitos A 2008","Óbitos A 2009","Óbitos A 2010","Óbitos A 2011","Óbitos A 2012","Óbitos A 2013","Óbitos A 2014","Óbitos A 2015","Óbitos A 2016","Óbitos A 2017","Óbitos A 2018","Óbitos A 2019"
110001,"Alta Floresta D'Oeste",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.09970482125287,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.52079072937969,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110002,"Ariquemes",81,2,2,4,1,2,0,1,2,0,0,0,1,0,2.3645972499734,2.33803277921956,4.4270804511195,1.09206071857595,2.15640398072175,0,1.00727250750418,1.97925738263004,0,0,0,0.927101971945895,0,44,37,2,2,0,0,1,0,0,2,0,0,0,0,0,4.71220224772047,4.66766243465273,0,0,2.13908318894522,0,0,3.93987746981069,0,0,0,0,0,52,44,0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,8.92657888864093,2.20206112921695,2.17400756554633,0,2.0259319286872,0,0,0,0,1.85542526347039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110003,"Cabixi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110004,"Cacoal",61,10,2,0,3,2,1,0,2,0,0,0,1,0,12.7774299477403,2.54210359072132,0,3.7994402158082,2.52111433253498,1.21899189370391,0,2.40488672983502,0,0,0,1.17152262795956,0,44,31,5,2,0,2,1,1,0,2,0,0,0,0,0,12.7864157119476,5.09606074504408,0,5.08685810209324,2.53145330734375,2.45736472207205,0,4.86357667428627,0,0,0,0,0,38,30,5,0,0,1,1,0,0,0,0,0,0,1,0,12.7684568043106,0,0,2.52257706472933,2.51085946719562,0,0,0,0,0,0,2.30244980659422,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110005,"Cerejeiras",6,3,1,4,2,0,0,0,1,0,0,0,0,0,17.8741658722593,6.0143140674806,23.4893417111985,11.8070724363894,0,0,0,5.94883997620464,0,0,0,0,0,10,4,1,0,2,2,0,0,0,1,0,0,0,0,0,11.7495006462225,0,23.3890773009005,23.5211101964013,0,0,0,11.9574315437044,0,0,0,0,0,7,2,2,1,2,0,0,0,0,0,0,0,0,0,0,24.1750271969056,12.1995852141027,23.5904694503421,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
110006,"Colorado do Oeste",6,1,0,0,0,0,0,0,0,0,0,0,0,0,5.48967940272288,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10.9325461900077,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110007,"Corumbiara",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110008,"Costa Marques",2,6,4,0,0,0,0,0,0,0,0,0,0,0,42.9399556287125,27.6797453463428,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,26.048450117218,12.5423303649818,0,0,0,0,0,0,0,0,0,0,0,9,2,4,3,0,0,0,0,0,0,0,0,0,0,0,63.5424940428912,46.3105896881754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110009,"Espigão D'Oeste",17,2,2,0,0,1,0,0,1,0,0,0,0,0,6.98885277981619,6.9230502959604,0,0,3.42594813114529,0,0,3.21988601603503,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,6.79671039217019,0,0,0,0,0,0,0,0,0,0,0,0,15,10,1,2,0,0,1,0,0,1,0,0,0,0,0,7.1921749136939,14.2348754448399,0,0,6.96961248954558,0,0,6.50575759547199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010,"Guajará-Mirim",92,7,3,10,16,0,43,6,2,0,1,0,0,1,17.2664709799956,7.36015701668302,24.0061455732668,38.1551962607908,0,98.184724283594,13.575889220744,4.48400331816246,0,2.20337115787154,0,0,2.14795085488444,79,40,2,1,4,8,0,17,5,1,0,0,0,0,1,9.87069390978186,4.91038546525902,19.0958132429465,37.9362670713202,0,76.9578995020371,22.4144887255122,4.43990587399547,0,0,0,0,4.24376167034459,102,52,5,2,6,8,0,26,1,1,0,1,0,0,0,24.6560481286059,9.80632507967639,28.9729103288425,38.3766669864722,0,119.788067265607,4.56850472840239,4.52898550724638,0,4.45533526397862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
