"Código","Nome Município","Hepatite B 1999-2007","Hepatite B 2008","Hepatite B 2009","Hepatite B 2010","Hepatite B 2011","Hepatite B 2012","Hepatite B 2013","Hepatite B 2014","Hepatite B 2015","Hepatite B 2016","Hepatite B 2017","Hepatite B 2018","Hepatite B 2019","Hepatite B 2020","Tx Det Hep B 2008","Tx Det Hep B 2009","Tx Det Hep B 2010","Tx Det Hep B 2011","Tx Det Hep B 2012","Tx Det Hep B 2013","Tx Det Hep B 2014","Tx Det Hep B 2015","Tx Det Hep B 2016","Tx Det Hep B 2017","Tx Det Hep B 2018","Tx Det Hep B 2019","Tx Det Hep B 2020","Hep B M Total","Hep B M 1999-2007","Hep B M 2008","Hep B M 2009","Hep B M 2010","Hep B M 2011","Hep B M 2012","Hep B M 2013","Hep B M 2014","Hep B M 2015","Hep B M 2016","Hep B M 2017","Hep B M 2018","Hep B M 2019","Hep B M 2020","Tx Det M Hep B M 2008","Tx Det M Hep B M 2009","Tx Det M Hep B M 2010","Tx Det M Hep B M 2011","Tx Det M Hep B M 2012","Tx Det M Hep B M 2013","Tx Det M Hep B M 2014","Tx Det M Hep B M 2015","Tx Det M Hep B M 2016","Tx Det M Hep B M 2017","Tx Det M Hep B M 2018","Tx Det M Hep B M 2019","Tx Det M Hep B M 2020","Hep B F Total","Hep B F 1999-2007","Hep B F 2008","Hep B F 2009","Hep B F 2010","Hep B F 2011","Hep B F 2012","Hep B F 2013","Hep B F 2014","Hep B F 2015","Hep B F 2016","Hep B F 2017","Hep B F 2018","Hep B F 2019","Hep B F 2020","Tx Det F Hep B F 2008","Tx Det F Hep B F 2009","Tx Det F Hep B F 2010","Tx Det F Hep B F 2011","Tx Det F Hep B F 2012","Tx Det F Hep B F 2013","Tx Det F Hep B F 2014","Tx Det F Hep B F 2015","Tx Det F Hep B F 2016","Tx Det F Hep B F 2017","Tx Det F Hep B F 2018","Tx Det F Hep B F 2019","Tx Det F Hep B F 2020","Óbitos B Total","Óbitos B 2000-2007","Óbitos B 2008","Óbitos B 2009","Óbitos B 2010","Óbitos B 2011","Óbitos B 2012","Óbitos B 2013","Óbitos B 2014","Óbitos B 2015","Óbitos B 2016","Óbitos B 2017","Óbitos B 2018","Óbitos B 2019"
110001,"Alta Floresta D'Oeste",29,5,1,6,8,7,25,9,7,7,10,8,6,0,20.3442242747284,4.10610166707728,24.5982289275172,33.0196466897804,29.083052889609,102.910303379574,37.397157816006,29.3685756240822,29.6434318624545,42.749658002736,34.5318772391764,26.1494879058618,0,70,18,1,0,4,4,2,11,7,5,5,6,5,2,0,7.78391842453491,0,31.6055625790139,31.8167356029271,16.0179400929041,87.5656742556918,56.3425627817128,40.6901041666667,41.1218027798339,49.8877525567473,42.0521446593776,17.0125893160939,0,58,11,4,1,2,4,5,14,2,2,2,4,3,4,0,34.1005967604433,8.5954959601169,17.0415814587594,34.3170899107756,43.1667098333765,119.341914585287,17.1791788352517,17.3205161513813,17.4596246180707,35.1957765068192,26.6028198989093,35.7493967289302,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
110002,"Ariquemes",304,62,41,53,54,57,75,58,81,50,34,44,10,27,73.3025147491753,47.9296719740011,58.6588159773333,58.9712788031015,61.4575134505698,76.8915316793111,58.4218054352425,80.1599239965165,48.6646422175504,32.5542650874656,41.4437495290483,9.27101971945894,24.6523561261105,494,168,29,21,22,26,28,37,30,45,25,18,22,7,16,68.3269325919469,49.0104555638536,48.3059965307512,56.3282637895923,59.8943292904661,75.3656251273068,60.0985616410914,88.6472430707405,48.4815576154831,34.3695104254182,41.3743817350911,12.9708896177294,29.2253456810419,455,135,33,20,31,28,29,38,28,36,25,16,22,3,11,78.3141107788694,46.8449899283272,69.1809863869672,61.6577116180745,63.0462194008435,78.4378483259712,56.7260940032415,71.5919260216764,48.8491148540388,30.7284564712209,41.5133503160676,5.56627579041116,20.0817876442237,16,5,2,1,0,0,0,1,0,2,0,3,0,2
110003,"Cabixi",13,0,0,0,2,4,1,0,2,0,0,0,1,2,0,0,0,32.1491721588169,65.2315720808871,16.4473684210526,0,34.3701666953085,0,0,0,18.8253012048193,38.550501156515,14,7,0,0,0,1,2,0,0,2,0,0,0,1,1,0,0,0,31.104199066874,63.0318310746927,0,0,66.9120107059217,0,0,0,36.8188512518409,37.7358490566038,11,6,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,33.2667997338656,67.5904021628929,33.8983050847458,0,0,0,0,0,0,39.4011032308905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110004,"Cacoal",217,28,33,26,20,25,24,29,39,33,22,28,19,7,35.7768038536729,41.9447092469018,33.0898261511441,25.3296014387214,31.5139291566873,29.2558054488938,35.1110842060657,46.895291231783,39.4218134034166,26.1105902180234,33.0138068456487,22.2589299312316,8.14967459513581,283,113,12,14,4,9,18,14,13,26,20,11,16,10,3,30.6873977086743,35.6724252153086,10.2239034863511,22.8908614594196,45.5661595321874,34.4031061090087,31.7863954227591,63.2264967657215,48.4027105517909,26.4938943616176,38.3463151587777,23.8509790826913,7.12216893784721,267,104,16,19,22,11,7,10,16,13,13,11,12,9,4,40.859061773794,48.1878820157752,55.766793409379,27.7483477120226,17.5760162703693,24.1890617062964,38.3720651365806,30.9214594928881,30.6676102854447,25.7382189152511,27.8499814333457,20.7220482593479,9.13847067693222,12,6,1,0,1,1,1,0,0,2,0,0,0,0
110005,"Cerejeiras",15,3,9,7,6,11,10,9,11,6,1,7,1,1,17.8741658722593,54.1288266073254,41.1063479945975,35.4212173091682,65.2741514360313,58.6166471277843,53.1412376003779,65.437239738251,35.9518245550962,6.03609585320215,42.5687180734615,6.12632481774184,6.17131572451247,54,12,1,3,3,3,7,6,5,2,4,1,6,1,0,11.7495006462225,35.5871886120996,35.0836159513507,35.2816652946019,82.7227605766958,70.3812316715542,59.1856060606061,23.9148630874088,48.2858522452921,12.1817517358996,73.7372496005899,12.4054087582186,0,43,3,2,6,4,3,4,4,4,9,2,0,1,0,1,24.1750271969056,73.1975112846163,47.1809389006841,35.5618776671408,47.6758045292014,46.8658465143527,47.1253534401508,106.546702971469,23.7953599048186,0,12.0380402070543,0,12.1669302834895,3,2,0,0,0,0,1,0,0,0,0,0,0,0
110006,"Colorado do Oeste",32,3,2,0,10,0,3,6,5,3,2,2,1,4,16.4690382081686,11.2195669247167,0,54.5315737812193,0,16.6805671392827,34.0309681810447,28.9519397799653,17.725258493353,12.0634537668134,12.3251371171504,6.29643621710112,25.7334019557385,49,20,2,0,0,10,0,2,0,4,3,2,2,1,3,21.8650923800153,0,0,108.683838713183,0,22.2148172831278,0,46.4144813181713,35.56609365738,24.2277407631738,24.7647350173353,12.6614332742466,38.8701736201088,24,12,1,2,0,0,0,1,6,1,0,0,0,0,1,11.0265740434447,22.4997187535156,0,0,0,11.1333778668448,68.0194989230246,11.5580212667591,0,0,0,0,12.7779197546639,2,1,0,0,0,0,0,0,0,0,1,0,0,0
110007,"Corumbiara",3,1,0,1,1,2,7,2,6,0,3,2,1,2,10.2448519618892,0,11.3856313332574,11.5540150202195,23.4466588511137,82.74231678487,24.1545893719807,74.1015190811412,0,38.7296669248644,26.4305537201004,13.5299688810716,27.7008310249307,17,2,0,0,0,1,1,4,2,3,0,1,1,1,1,0,0,0,21.54243860405,21.8579234972678,88.3197173769044,45.16711833785,69.4605232692753,0,24.2777373148823,24.8941996514812,25.5036980362153,26.1711593823606,14,1,1,0,1,0,1,3,0,3,0,2,1,0,1,22.4416517055655,0,24.5579567779961,0,25.2844500632111,76.3164589163063,0,79.4070937003706,0,55.1419906258616,28.169014084507,0,29.4204177699323,1,0,0,0,0,0,0,0,0,1,0,0,0,0
110008,"Costa Marques",10,3,1,2,1,0,2,2,3,1,2,1,1,0,21.4699778143563,6.9199363365857,14.6220207632695,7.1311416957855,0,12.9642833992351,12.5659713495853,18.2770805410016,5.92031259250488,11.5147676895619,5.60067208064968,5.45523975778735,0,12,3,2,1,1,0,0,1,1,1,1,1,0,0,0,26.048450117218,12.5423303649818,13.8850319355735,0,0,12.3016361176036,11.9203719156038,11.5553501271089,11.2296462661426,10.9170305676856,0,0,0,17,7,1,0,1,1,0,1,1,2,0,1,1,1,0,15.8856235107228,0,15.4416306361952,15.0602409638554,0,13.7023842148534,13.2855055134848,25.7731958762887,0,12.1817517358996,11.8455342335939,11.5366866635902,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1
110009,"Espigão D'Oeste",31,12,20,7,9,12,12,7,2,13,15,5,8,4,41.9331166788972,69.230502959604,24.3656235859236,31.074129061216,41.1113775737435,39.5009710655387,22.7901676705193,6.43977203207006,41.4210610164091,47.2992148330338,15.602084438481,24.7111879903626,12.2342865881633,90,19,6,11,2,2,7,7,3,2,9,11,2,6,3,40.7802623530211,74.1289844329133,13.6930028755306,13.5869565217391,47.1666329762145,45.5047780016902,19.3137191785231,12.7502231289048,56.8684443321117,68.892089935492,12.4131082423039,36.911719470932,18.2971456452793,66,12,6,9,5,7,5,5,4,0,4,3,3,2,1,43.1530494821634,64.0569395017794,35.403242937053,49.1469493786421,34.8480624477279,33.3422245932249,26.3469898564089,0,25.7085930972428,19.0524577670519,18.8264825855036,12.4077176003474,6.1353457267317,10,5,1,1,0,1,0,1,0,0,0,1,0,0
110010,"Guajará-Mirim",217,60,39,13,14,16,25,25,10,10,27,26,9,7,147.998322685676,95.6820412168793,31.2079892452468,33.3857967281919,37.9128951234539,57.0841420253454,56.5662050864332,22.4200165908123,22.2251855802996,59.4910212625317,56.7896380752681,19.4914887165938,15.0356559841911,280,116,44,28,6,9,8,14,11,4,5,16,12,4,3,217.155266015201,137.490793027253,28.6437198644197,42.6783004552352,37.6985061966919,63.37709370756,49.3118751961268,17.7596234959819,21.9954249516101,69.7471665213601,51.8179462820624,17.1203561034069,12.7312850110338,218,101,16,11,7,5,8,11,14,6,5,11,14,5,4,78.899354011539,53.9347879382202,33.801728716983,23.9854168665451,38.1297364281969,50.6795669200645,63.9590661976335,27.1739130434783,22.4597969634355,49.0086879037648,61.878453038674,21.9202104340202,17.3973556019485,7,1,1,0,0,0,0,0,1,0,1,1,2,0
