"Código","Nome Município","Hep C Novo 1999-2007","Hep C Novo 2008","Hep C Novo 2009","Hep C Novo 2010","Hep C Novo 2011","Hep C Novo 2012","Hep C Novo 2013","Hep C Novo 2014","Hep C Novo 2015","Hep C Novo 2016","Hep C Novo 2017","Hep C Novo 2018","Hep C Novo 2019","Hep C Novo 2020","Tx Det Hep C Novo 2008","Tx Det Hep C Novo 2009","Tx Det Hep C Novo 2010","Tx Det Hep C Novo 2011","Tx Det Hep C Novo 2012","Tx Det Hep C Novo 2013","Tx Det Hep C Novo 2014","Tx Det Hep C Novo 2015","Tx Det Hep C Novo 2016","Tx Det Hep C Novo 2017","Tx Det Hep C Novo 2018","Tx Det Hep C Novo 2019","Tx Det Hep C Novo 2020","Hep C M Total","Hep C M 1999-2007","Hep C M 2008","Hep C M 2009","Hep C M 2010","Hep C M 2011","Hep C M 2012","Hep C M 2013","Hep C M 2014","Hep C M 2015","Hep C M 2016","Hep C M 2017","Hep C M 2018","Hep C M 2019","Hep C M 2020","Tx Det M Hep C M 2008","Tx Det M Hep C M 2009","Tx Det M Hep C M 2010","Tx Det M Hep C M 2011","Tx Det M Hep C M 2012","Tx Det M Hep C M 2013","Tx Det M Hep C M 2014","Tx Det M Hep C M 2015","Tx Det M Hep C M 2016","Tx Det M Hep C M 2017","Tx Det M Hep C M 2018","Tx Det M Hep C M 2019","Tx Det M Hep C M 2020","Hep C F Total","Hep C F 1999-2007","Hep C F 2008","Hep C F 2009","Hep C F 2010","Hep C F 2011","Hep C F 2012","Hep C F 2013","Hep C F 2014","Hep C F 2015","Hep C F 2016","Hep C F 2017","Hep C F 2018","Hep C F 2019","Hep C F 2020","Tx Det F Hep C F 2008","Tx Det F Hep C F 2009","Tx Det F Hep C F 2010","Tx Det F Hep C F 2011","Tx Det F Hep C F 2012","Tx Det F Hep C F 2013","Tx Det F Hep C F 2014","Tx Det F Hep C F 2015","Tx Det F Hep C F 2016","Tx Det F Hep C F 2017","Tx Det F Hep C F 2018","Tx Det F Hep C F 2019","Tx Det F Hep C F 2020","Óbitos C Total","Óbitos C 2000-2007","Óbitos C 2008","Óbitos C 2009","Óbitos C 2010","Óbitos C 2011","Óbitos C 2012","Óbitos C 2013","Óbitos C 2014","Óbitos C 2015","Óbitos C 2016","Óbitos C 2017","Óbitos C 2018","Óbitos C 2019"
110001,"Alta Floresta D'Oeste",1,0,0,0,0,2,2,1,0,1,0,3,3,0,0,0,0,0,8.30944368274544,8.23282427036595,4.155239757334,0,4.23477598035064,0,12.9494539646912,13.0747439529309,0,5,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,8.00897004645203,7.96051584142653,0,0,0,0,8.41042893187553,17.0125893160939,0,5,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,8.6333419666753,0,0,0,8.72981230903536,0,17.7352132659395,8.93734918223255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110002,"Ariquemes",91,22,10,10,3,18,15,9,15,9,9,4,2,3,26.0105697497074,11.6901638960978,11.0677011277987,3.27618215572786,19.4076358264957,15.3783063358622,9.06545256753762,14.8444303697253,8.75963559915907,8.61730546432914,3.76761359354985,1.85420394389179,2.73915068067894,28,5,0,0,0,0,2,0,1,11,1,4,3,0,1,0,0,0,0,4.27816637789044,0,2.00328538803638,21.6693260839588,1.93926230461932,7.63766898342626,5.64196114569424,0,1.82658410506512,31,0,0,0,1,0,1,4,3,4,8,5,1,2,2,0,0,2.23164472216023,0,2.17400756554633,8.25661561326012,6.07779578606159,7.95465844685294,15.6317167532924,9.60264264725653,1.88697046891216,3.71085052694077,3.65123411713159,4,2,0,0,1,0,0,0,0,0,1,0,0,0
110003,"Cabixi",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.1850833476542,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.4560053529609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110004,"Cacoal",42,4,1,7,7,8,4,5,9,15,17,9,4,3,5.11097197909612,1.27105179536066,8.90879934838496,8.86536050355248,10.0844573301399,4.87596757481563,6.05363520794237,10.8219902842576,17.9190060924621,20.1763651684726,10.6115807718156,4.68609051183824,3.49271768362963,50,3,2,0,1,3,2,0,3,6,8,9,6,4,3,5.11456628477905,0,2.55597587158777,7.63028715313986,5.06290661468749,0,7.33532202063671,14.5907300228588,19.3610842207164,21.6768226595053,14.3798681845416,9.54039163307654,7.12216893784721,31,1,0,0,1,2,2,2,2,3,7,8,3,0,0,0,0,2.53485424588086,5.04515412945865,5.02171893439124,4.83781234125928,4.79650814207257,7.13572142143571,16.5133286152394,18.7187046656371,6.96249535833643,0,0,6,2,1,1,0,0,0,0,1,0,0,0,1,0
110005,"Cerejeiras",5,0,2,2,2,1,1,0,1,1,1,0,0,0,0,12.0286281349612,11.7446708555993,11.8070724363894,5.93401376691194,5.86166471277843,0,5.94883997620464,5.9919707591827,6.03609585320215,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11.8175372252423,0,0,11.9574315437044,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11.8976799524093,11.9645848289064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110006,"Colorado do Oeste",10,0,0,1,1,0,1,2,4,0,1,0,2,0,0,0,5.37894680221613,5.45315737812193,0,5.56018904642758,11.3436560603483,23.1615518239722,0,6.03172688340672,0,12.5928724342022,0,7,2,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,11.1074086415639,0,34.8108609886284,0,0,0,12.6614332742466,0,4,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,10.7979699816435,0,0,0,0,11.5580212667591,0,12.013455069678,0,12.5250501002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110007,"Corumbiara",1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,11.3856313332574,11.5540150202195,11.7233294255569,0,0,12.3502531801902,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.8579234972678,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,24.5579567779961,24.919013207077,0,0,0,26.4690312334569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110008,"Costa Marques",2,0,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,0,0,6.28298567479266,18.2770805410016,0,11.5147676895619,0,5.45523975778735,0,5,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,11.9203719156038,34.6660503813266,0,10.9170305676856,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12.1817517358996,0,11.5366866635902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110009,"Espigão D'Oeste",1,0,0,1,0,2,0,1,0,1,1,1,3,0,0,0,3.48080336941766,0,6.85189626229059,0,3.25573823864561,0,3.1862354628007,3.15328098886892,3.1204168876962,9.26669549638599,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,6.2629172668629,6.20655412115194,12.3039064903107,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6.96961248954558,0,0,0,6.42714827431069,0,0,6.20385880017371,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
110010,"Guajará-Mirim",39,8,4,3,3,4,4,8,4,0,6,11,7,0,19.7331096914235,9.8135426889107,7.20184367198003,7.15409929889827,9.47822378086347,9.13346272405526,18.1011856276586,8.96800663632491,0,13.2202269472293,24.0263853395365,15.1600467795729,0,20,2,0,1,1,1,0,0,0,1,0,5,6,3,0,0,4.91038546525902,4.77395331073662,4.74203338391502,0,0,0,4.43990587399547,0,21.795989537925,25.9089731410312,12.8402670775552,0,19,1,0,0,1,0,1,0,3,3,0,1,5,4,0,0,0,4.82881838814042,0,4.76621705352462,0,13.7055141852072,13.5869565217391,0,4.45533526397862,22.0994475138122,17.5361683472161,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
